"Usernames","Dates","User_Rating","Review_Title","Text_Reviews"
"Rob1331","Sep 27, 2022","10","Incredible!!","Band of Brothers absolutely one of the best miniseries of all-time...period. Not only that but it's also among the very best war movies/tv shows ever created! It follows the story of a US Army airborne division called Easy Company and their missions in Europe during World War II. It follows the brave soldiers and their experiences and bravery during the war. It's based off interviews with survivors of Easy Company and the soldiers letters and journals they wrote. EVERY episode is so incredibly written and the cast is absolutely amazing! It is a pulse-pounding accurate depiction of war that will keep you glued to each and every episode. I have to warn you that it's a tough watch but absolutely worth it."
"sanderson777","Oct 14, 2001","10","Possibly the finest 10 hours ever created","Band of Brothers is the best Movie/Mega Mini series that has ever been made. It has all the production quality of Saving Private Ryan but with many more layers of plot and characters. I can't wait for the what has to be a gigantic DVD collection, just hope it is under $200!!! Thanks HBO!!!!!!!"
"wildcatt268","Jan 18, 2002","10","One of the best war movies/series ever","I have read virtually all of Ambrose's WWII books, and this mini-series faithfully follows one of his best. The experience of these men of the 506th Parachute Infantry Regiment, 101st Airborne, was mirrored throughout the many divisions of Army and Marine ground troops in WWII. I feel that this series represents that collective experience in the finest, most forthright manner possible and pays tribute to them all. The acting, mostly by previously unheralded actors, was superb--particularly that of Damien Lewis (Capt.Winters). Winters had to mature along with his increasing command responsibilites, had to learn to turn over his initial company-level responsibilities to others as he was promoted to battalion commander.  It was clearly tough for him, particularly when he had to order attacks on heavily defended objectives, without being to lead his former command directly.   All of the characters were developed enough that you cared about each of them as individuals, and felt the loss of each of them through the attrition during the brutal fighting in the Northern European Theater. They cared for each other as fighting men do (confirmed by my own experience in the infantry in Vietnam), but at the same time they had to carry on with the mission regardless of loss.  Replacements are regarded warily at first, but then managed to blend in with the veterans if they showed they were worthy of joining this band of brothers.  The plot is real, and as such is neither macho nor macabre--it just is presented as it really happened.  The truths of combat are stranger than fiction.  The interviews with the actual veterans, interspersed throughout the series, added authenticity, verified what the series was showing. These representatives of ""The Greatest Generation"" did themselves and this nation proud. Though I knew the story well, I eagerly looked for to each new episode to see how well it tracked with the book and how well the actors and director portrayed it.  Up to this series, I had thought that ""Once an Eagle"" (starring Sam Elliot) was the best war series, but this one is now at the top of the class in my view."
"arjay24","Apr 18, 2004","10","Realistic","I am an 80 year old combat veteran (88th Inf. Div. Italy).I watched BOB on the History Channel. I was so overwhelmed, indeed a bit panicked by the authentic nature of 90+% of the uniforms, signs, noises (I take exception to the sound of incoming artillery).I cried several times at the authentic staging - for them and me.I cannot believe I'll watch it again. It's too much. Too real.We never had so much water allowed in a shower.Rate: 10/10"
"rbverhoef","Feb 13, 2003","10","Excellent","This week I saw three things based on WW-II novels. The first was 'The Pianist' about the Warsaw ghetto in the war and the survival of a Jewish pianist in that ghetto. The second was 'De Tweeling', a Dutch film about two twin-sisters, separated in 1926. One of them grows up in Nazi-Germany, the other in The Netherlands. That movie shows us more of the common persons during the war, Germans and not-Germans. The third was 'Band of Brothers', a true story about combat in the war. All three things are great, the films I mean, and you definitely should see all three of them.'Band of Brothers' follows Easy-company from their training in England, through D-Day, the rest of France (including Bastogne), Holland (including operation Market Garden), Germany and Austria. This story is shown to us in ten different episodes. Every episode starts with the real men from Easy-company telling about their experiences and ends with a short written update of Easy-company. Between beginning and ending of episodes one of the best things I have seen on screen is presented to us.The casting is amazing. Even David Schwimmer (from 'Friends') as the bitter Captain Sobel is great. Damian Lewis and Ron Livingston are superb as Major Winters and Captain Lewis Nixon. Every actor seems to be perfect for his character. The photography and direction is great also. I especially loved the direction of the episode done by executive producer Tom Hanks, possibly with some help from the other executive producer Steven Spielberg. 'Saving Private Ryan' was great for showing us the horror in combat, 'Band of Brothers' does the same thing but adds some other things. You really learn to know the characters (in 600 minutes you can do that), you sympathize with them.If you have the chance to see this masterpiece, do so. It is long but you can spread the episodes over some days. But if you start watching it is very hard to stop. Definitely one of the best WW-II movies or series out there."
"yodaschoda","Jan 23, 2005","10","One of, if not the best, mini series' ever made","Band of Brothers finds us following the exploits of Easy Company throughout their campaign in Europe, from their inception all the way to the end of the war. The commentary from the actual soldiers that were in those situations is touching, to say the very least. These commentaries also help to move the character development along quite a bit, as it lets us into their own personal thoughts on the situations they faced. This project, to the best of my knowledge was undertaken at roughly the same time as Saving Private Ryan, using many of the same locations and also employing DreamWorks special effects, giving it a very familiar feel for anyone that has seen Private Ryan. As I've already touched on, the character development is greatly due to the fact that this story is not told in a two hour segment, but throughout several hour long intervals, giving us the chance to truly ""get to know"" the characters personalities as the story develops. In my humble opinion, the only other military type mini series' that even come close to the scope of this one are The Blue and The Grey, and North and South.All of the actors in this series do and excellent job at playing the roles appropriately and making us believe the hell these men were put through. The thing I also appreciated about the cast is the lack of any ""real"" names, leading to us not knowing who may or may not be making it out the scenes alive and unscathed.This mini series is everything Saving Private Ryan was, as well as everything it wasn't. If you're a fan of war time stories and ""army"" movies, this is hands down the best of the best I don't even think I could name ANY movies about WWII that could even compare to this one A bold statement, I know, but I'm making it any how."
"philip_vanderveken","Sep 16, 2004","10","This series is so unbelievably realistic, so authentic.","There aren't much TV-series which have left such an impression on me as Band of Brothers did. From the moment I saw the first episodes, I knew I had to buy this on DVD.This series, telling you the story of Easy Company of the US Army Airbourne Paratrooper division is so unbelievably realistic, so authentic... There has been put so much effort in taking care of all the details that it makes you believe that you are right in the middle of all the action. This is an outstanding achievement. It's about ten hours long, but I wouldn't mind if it was a few hours longer. Each episode opens with interviews with several of the actual men from Easy Company, talking about some of the experiences that that episode deals with. When you buy the special edition DVD box (a metal case with 6 instead of 5 DVD's), you will find the complete interviews with these men on the extra DVD. These interviews certainly aren't to be missed! As you may have guessed, I'm one of the biggest fans of this series. I could go on for hours about it, but our time is limited and instead of reading this you better watch the series yourself. According to me, there is only one score appropriate for a masterpiece like this one and that is 10/10. Amazing!!!!"
"Supermanfan-13","May 6, 2022","10","One of the best mini-series ever created!","Band of Brothers absolutely one of the best miniseries of all-time...period. Not only that but it's also among the very best war movies/tv shows ever created! EVERY episode is so incredibly written and the cast is absolutely amazing! It is a pulse-pounding accurate depiction of war that will keep you glued to each and every episode."
"thiagoutp","Nov 4, 2019","10","Probably the best ever","Band of Brothers shows the world the ugly truth of World War II.As it was a TV series, sometimes people may think that there are movies of the same quality, but honestly, I didn't find.The characters are presented very deeply and we can even feel what they are going through and the problems they are facing.At times, distressing. Others, exciting.I believe that as it was based on real facts and having testimonials from people who have gone through the war, Band of Brothers becomes unforgettable."
"bsmith5552","Nov 5, 2001","10","Realistic WWII Drama With Warts Included","""Band of Brothers"" in a word is awesome. I couldn't wait to see each episode. Co-Executive Produced by Tom Hanks and Steven Spielberg, it has the realism, look and feel of Spielberg's ""Saving Private Ryan"" (1998) but with more insight into the characters. Hanks even directed one episode himself. Told over ten gut wrenching episodes, the story centers on a company of soldiers in the 101st American Airborne Division in WWII from their initial basic training to their landing in France on D-Day to their many battles and ordeals through to the liberation of a concentration camp and finally through to the end of the war. The soldiers are ordinary people thrust into horrific situations and shows how each is able (or not able) to deal with the situations. The battle scenes are realistic and convincing and the special effects are breath taking. While the series depicts the trials and tribulations of the company, it isn't afraid to show how the war affects seemingly sane and rational men. For example there is a scene where the nominal hero of the story, Winters (Damien Lewis) shoots an unarmed German soldier out of frustration. There is also a scene where a group of German prisoners are cut down by an American officer after he had given them cigarettes. Even after the German surrender there are instances of out and out murder of Germans. This is very rare for an American war story. The cast is of largely unknown actors, which makes for a more effective telling of the story. There is no John Wayne leading the troops to victory kind of thing. Damien Lewis is very good as Winters who rises through the ranks to lead the company. Ron Livingston plays his friend and second in command, Nixon. Others include David Schwimmer, excellent as the training officer, Scott Grimes as Malarkey the grizzled sergeant and ex New Boys on the Block member Donnie Wahlberg effective as Corporal Lipton. ""Band of Brothers"" is a story that could only be told in a mini-series. It clearly shows that war really is hell."
