"Usernames","Dates","User_Rating","Review_Title","Text_Reviews"
"arjanhylkema","Nov 7, 2016","10",">10","As Planet Earth I was released about ten years ago, a visual improvement could have been expected due to the use of advanced technology, but man, did they up their game. The camera-work and the use of music were both truly superb, as well as the editing in which different sub- segments were all synced so well with the narrating of it by David Attenborough. It was nothing like a nature documentary, it was way beyond that. The short and different segments, were movies on itself. It contained all the different genres, from experiencing the thrill in a Hollywood-like impossible action-escape scenario to having a comical and truly euphoric moment of realization about the true extent of what nature has to offer. And this was all brought so incredibly well.If we had any more of such heavenly quality programs on TV, I would simply just glue my eyes to my TV and live out the rest of my life as a vegetable."
"Wentloog","Nov 5, 2016","10","At once awe-inspiring and terrifying!","I have just finished watching the first episode on BBC 1 and I am amazed to find that Planet Earth II appears to have bettered the original! The photography is perfect and Attenborough's narration, both content and delivery, is unparalleled. This initial outing is titled ""Islands"" and whilst I don't want to dwell on the individual segments, the Racer Snakes vs baby Iguanas is probably the most terrifying piece of natural history film I have ever witnessed, not for the fainthearted or squeamish!The ""making of segment at the end of the documentary proper was particularly enjoyable and informative.This is what the BBC does best and long may it last."
"john-m-madsen","Nov 5, 2016","10","Yet another masterpiece from BBC Nature & David Attenborough","What to say about Planet Earth II which has not already been said about so many other fantastic productions from BBC Nature?I've no idea.However: the production values are as always the very best in the business, the photography is likewise unmatched and it's all tied together with masterful insight and authority by David Attenborough, the man who through more than four decades has taught the planet more about the natural world than any ten others put together.Simply superb.The actual content? That you need to see for yourself."
"thespookybuz","Nov 9, 2016","10","Mesmerizing","The original Planet Earth back in 2006 was an astounding and refreshing series that tore down the limits of documentary making. It was universally lauded as exceptional, and if you haven't seen it then you're missing a genuine treat.Planet Earth II is everything its predecessor was. And more.Ultra sharp photography, iris-piercing colour and focus, and on a decent home set up, a superbly immersive experience. It is almost hypnotic the way the gorgeous landscapes and action scenes are interwoven with a sublime soundtrack by Hans Zimmer.The BBC receives criticism sometimes for the way it spends 'tax payers' money', but surely not for this. Whether you're aged 8 or 80, this is the highest quality television that will bewilder and astound.Truly wondrous, and David Attenborough is a legend."
"pjdickinson","Nov 5, 2016","10","Astounding","The professionalism of everyone involved in this glorious production is evident in every frame of what is seen and every second of what is heard. Most Hollywood blockbusters would struggle to compete with the cinematography on show here. Shot after shot seem almost impossible yet impossibly beautiful. Few things fill a viewer with simple awe but the first episode about islands does it and then some. The fact that it is all so enjoyable just adds to the experience. David Attenborough's narration is, as usual, superb.Whatever the cost it was worth it. The BBC has another hit."
"dbijis33","Nov 8, 2016","10","Dangerously beautiful","Hello this is my first written review. Note that I haven't watched the first season (2006) so I can't compare both.This series will get you the feels when you read a good book, watched a good movie, or played a good game, because this is more than good.THIS IS A VERY BEAUTIFUL MASTERPIECE and of course with the danger of nature itself included.I don't know how they got those shots and the audio, even the music just like the rush when you first meet your crush, and the story with narration slaps you with the cold harsh of reality and the mesmerizing it gave. You are watching a book of life with enough drama and some bitter truth in every paradise, because life is never perfect.I'm very thankful for whomever people that makes this show to be realized, from the smallest task to the most dangerous.Thank you very much for this ineffable experience."
"dhanrajjughead","Nov 17, 2016","10","Greatest documentary ever created.","By far the greatest and best nature documentaries ever made. Everyone needs to watch this. I have no idea how many hours it must have taken to film this, and it seems like the people who made this are totally out of their minds. The snow leopard scenes in episode 2 are so brilliant it's amazing. It's one of the rarest animals ever shot on film and they've managed to shoot so much of it. It's crazy. They deserve every little credit they get. I'm thoroughly impressed by the work put into this and i'm sure it surpasses the work put into any Hollywood action film ever created. I think I learned a lot more from these people, more than how much I learned from the content itself."
"NeilBarnett","Nov 13, 2016","10","Best thing on TV since last Planet Earth","This is without doubt the best thing I have seen on television for years. The photography, narration and general story telling of the lives of the animals is simply breath-taking.Episode 1 was animals that live on islands. As others have mentioned I have never seen such a more terrifying piece of natural-history photography in my life. I won't spoil it for anyone who hasn't seen it or caught it on YouTube but I never thought I would be shouting at the TV for Iguana's to run. Episode 2 was mountain living wildlife from Grizzly Bears coming out of hibernation to Snow Leopards. This programme is one of the few examples which envelopes you in its documentary telling. You are seeing things for the first time and you are left with wanting more. Roll on episode 3, jungles."
"salmanu-27386","Nov 6, 2016","10","Excellent","The opening image of Planet Earth II contained the promise of everything to come. It was spectacular, it was beautiful, it was magical. A hot air balloon floated like a snowflake, two miles abovean Alpine.The theme of the episode was ""Islands"", and we got off to a winningly cute start with a visit to idyllic Escudo, off Panama. Its star attraction is a three-toed pygmy sloth spurred into slow motion action by the cry of a potential mate. But no doubt what most people will remember, and talk about today, were the baby iguanas running the gauntlet of swarms of racer snakes on the Galapagos island of Fernandina.how beautiful our world and its living thing .....and how beautiful and big the creator of this whole universe ....I think people have to watch this types of films which is real one ."
"panagiotiskatsanos","Dec 31, 2016","10","One of the best documentaries I 've ever seen","One of the best documentaries I 've ever seen. Every episode is a new wonderful experience,getting to know the world that surrounds us. David Attenborough is the best narrator out there and this is his latest masterpiece. The crew has worked hard and managed to capture a large aspect of wild life whether it lives on a remote island in the arctic ocean or deep in one of the large human cities in India or United States of America. It shows that they put a lot of effort and time filming this under harsh conditions,but the close up captures of wild animals in their natural environment was worth the effort. Watched it already twice and will watch it again! This is something to watch again and again with your children, until the next Planet Earth arrives. Well done!"
