"Product_Name","Reviewer_Names","Review_Date","Individual_Ratings","Review_Title","Text_Reviews"
"SHRRADOO Extra Large 50L","","September 25, 2024",4.7,"QUALITY/DESCRIPTION","I am a college student that just needs to carry a lot of stuff around; this bag does it perfectly. I am actually surprised about how well made it is. There's a small pouch in the front that carries pens/pencils, a small battery pack, and has several different pouches inside as well. There's one big enough for my calculator.Three other compartments. The two are big enough for multiple notebooks to fit inside and the biggest one unzips the whole way down the bag so if you need to fit a lot in there easy but it's difficult to slide it in from the top, just unzip it all the way, place down, zip it up and you're good. There's a laptop pocket as well. There is a charging port in the side as well.Zippers and handle are great quality, there are two spots for water bottles, buckles to keep it secure. Handle is great as well. It even comes with instructions on the TSA approved lock. There are many things that I'm still discovering about the bag as I use it daily.Overall, fantastic bag, worth the price."
"SHRRADOO Extra Large 50L","Amazon Customer","November 5, 2024",4.5,"Highly recommend","Durable. Large. Many compartments. Great price. This is the second one. I only replaced the previous one because my son wanted a new one. He wore the previous one two years. He now just uses the other one for traveling. But most book bags have to be replaced yearly due to the wear and tear on them from the school year. This one looked great after 2 years. So we just bought the same one in red so he could have something different. But if you want a book bag that can survive a middle school boy. Then this is the bag for you."
"SHRRADOO Extra Large 50L","Aislinn Lightsey","April 18, 2023",4.5,"Great fit!","I needed something a lot more sturdy for traveling to and from work. I was using a regular backpack and for some reason it was super heavy, even when I didn't put that much stuff in it. in this new one, I was able to fit my laptop, several notebooks, and a think paperback textbook in the back laptop pouch. This one has a lock with pros and cons. Another reviewer mentioned it is easy to decode the lock and while i wouldn't expect it to work if I left my bag unattended, I do expect if I was traveling I wouldn't have to worry about someone slipping into my bag and grabbing my laptop without me noticing. I don't like locks that don't lock unless it's on the unlock code already, which is how this lock is, but I think most locks are like that now? I'd prefer to just click it shut and then have to put in my code to unlock it, but it's not that big of a deal.The second pouch is very roomy. I was able to fit my small purse, my nursing pack, and some additional supplies that I had for my shifts (a drink insulator, hand lotion, some thin mints lol). It also has a mesh pouch so I can keep my box of hot chocolate separate and ready for me to grab from.The next pouch I expected to be very thin, like my last bag, but I was able to stuff my winter hat and gloves, glasses case, some candy with room to spare. It reaches all the way down to the bottom of the bag.There is a little pouch on the front/top and it holds everything I usually shove into my scrub pockets without even looking like anything is in it. Underneath that one is the last half pouch. I have my surgery cap, some chargers, some extra pens, markers, highlighters, and a flat pack of gum.Both sides have additional mini-pouches and very spacious water bottle holders. On one side it comfortably fit my 30 oz metal water bottle and the other side I shoved in one of those trident gum packs that are cylindrical as well as a Starbucks ceramic mug on top of that. I only did that when I was going from my car to my house and expected to need to be super careful but it fit so well in there I found I didn't actually have to worry.The bag has a reinforced handle at the top, adjustable clips across the sides for support, and a lot of comfortable padding on the back and on the shoulder straps. I took this to work one day so far and it 100% feels better on my back (I do have chronic back issues.) It's not as though it feels lighter per se, as if I have less stuff, but it definitely feels a lot more secure and comfortable and easier to transport.Some reviews said it didn't hold up well for them and i'm hoping taking a chance on this bag wasn't a mistake. I figure any bag has a chance to rip depending on it's use. I really love it a lot so far and I do hope it lasts. One more aspect of this bag that others may appreciate is a port to plug into a portable charger, but I don't typically use those functions in backpacks.I can't speak on water resistance, though it was snowing when I was walking to my car when leaving work, and nothing inside appeared to be wet. it was light snow though, so I'd hate to steer anyone wrong in case it's awful for that, but I don't suspect it would be.My computer/phone screens made the purple look a little brighter than it really is, which made me debate getting the black one, but I'm really happy I went with purple. It's a really great shade and an overall good-looking backpack."
"SHRRADOO Extra Large 50L","Ashanti","November 10, 2024",4.5,"Affordable, Spacious, and Professional","I really like this backpack because of how much space is in it.I originally bought it as an everyday bag with the goal of being able to take my daily items with me along with being able to store essentials in the event I was out of my element.With this bag, I was able to comfortably fit a full change of clothes, two laptops, a portable monitor, mouse and keyboard, portable charger, headphones, batteries, snacks, water, and misc utensils.So far this back has held up and is durable but we will see how that holds up in the months to come.Overall, if you're a professional on the go, a student trying to pack your day, or an amateur hiker i believe this bag will comfortably take care of you!"
"SHRRADOO Extra Large 50L","Rach","February 23, 2024",4.6,NA,"Great space"
"SHRRADOO Extra Large 50L","Greg K.","April 18, 2023",4.6,NA,"A mochila é bem robusta, bem impermeável, ótima capacidade em volume e com um acabamento impecável."
"SHRRADOO Extra Large 50L","Customer","November 6, 2022",4.4,NA,"Una mochila con gran capacidad y compartimentos para todo, obviamente una laptop.Un compartimiento central donde cabe gran cantidad de objetos, en mi caso ropa para viaje.Si buscas una mochila de gran capacidad, la recomiendo mucho."
"SHRRADOO Extra Large 50L","Celio Ribeiro de Oliveira","June 24, 2022",4.7,NA,"Pour voyager"
"SHRRADOO Extra Large 50L","Samuel F.","October 22, 2024",4.7,NA,"Good for high school and college students."
"SHRRADOO Extra Large 50L","richard",NA,5,NA,NA
