"Product_Name","Reviewer_Names","Review_Date","Individual_Ratings","Review_Title","Text_Reviews"
"15.6 Inch Laptops Laptop","Amazon Customer","September 23, 2024",4.8,"Reliable and affordable","This 17.3-inch laptop with a Core i3 processor offers solid performance for everyday tasks at an affordable price. The display stands out with a Full HD IPS screen, providing clear and crisp visuals that are easy on the eyes, making it suitable for work and casual media consumption. With a 128GB SSD, boot times are quick, and basic applications open smoothly, though users handling larger files might consider utilizing the expandable 1TB storage option for added space.The 4GB of RAM may be limiting for heavy multitasking but is sufficient for basic productivity tasks like web browsing, document editing, and video streaming, which are exactly what I need. The inclusion of USB 3.2, Type-C, and mini HDMI ports adds versatility to the laptop, making it easier to connect additional devices or external displays. The 8000mWh battery provides reasonable longevity, making it convenient for users who need to work on the go without frequently searching for power outlets.The 5G WiFi ensures fast and stable internet access, enhancing the overall experience. The integrated webcam is functional for video calls, Zoom, or Team.Overall, this laptop offers good value for users looking for a larger screen and basic functionality for everyday use. It is a dependable option for those seeking an entry-level device with decent features."
"15.6 Inch Laptops Laptop","Joe","October 28, 2024",4.8,"Great Laptop","My son needs a large screen laptop for school and this one is just perfect. It is very good quality with fast processor and the SSD provides a quick response time. The price is reasonable for the great performance, speed and versatility.  The battery life so far is good and the display is crispy clear with vivid colors. It operates very quiet and stays cool. Definitely a great laptop, recommended."
"15.6 Inch Laptops Laptop","Nhi Nguyen","November 26, 2024",4.8,"Great Computer","This computer was easy to set up because of the simple instructions that were included. The speed, quality, size and color are all as described.  Thank you for the positive purchase as beginning school again has been stressful enough!"
"15.6 Inch Laptops Laptop","Stormy","November 25, 2024",5,"Amazing Laptop for the price.","The Laptop is an amazing product for a fairly low cost. I have downloaded APPS that I use for work and the computer handles everything without issues and I have plenty of memory. I would recommend this laptop to anyone."
"15.6 Inch Laptops Laptop","walter nichols","December 14, 2023",5,"Great machine","This is a great machine for the price. I had an old lenova laptop that has become slow and outdated. This is a great replacement with a quad 4 processor. Big screen makes visibility great and it's sleek and slim."
"15.6 Inch Laptops Laptop","Moise Bourassa","November 20, 2024",5,"Laptop","It was delivered fast.It was exactly what i needed.Very slim and a light weight which makes it easy to carry.  Setting it up today . Very easy to do."
"15.6 Inch Laptops Laptop","Big big","November 15, 2024",5,"love it","I ordered this for my son to use for school homework,love the size It's small but very easy to carry. It is also good speed computer. We have downloaded a few bigger games and it has held up great ."
"15.6 Inch Laptops Laptop","j kings","September 23, 2024",5,"Satisfied","Very happy with this computer I ordered it for replace my old laptop,I am very satisfied with the configuration for home office work. Very satisfied with the price. Thank you"
"15.6 Inch Laptops Laptop",NA,NA,5,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,5,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,5,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,5,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,5,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,5,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,5,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,5,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,NA,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,NA,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,NA,NA,NA
"15.6 Inch Laptops Laptop",NA,NA,NA,NA,NA
"18.5 Inch Laptops Windows","Amazon Customer","November 7, 2024",4.6,"Exceptional Performance and Sleek Design – Highly Recommend!","Very big and durableI recently purchased this laptop, and I am absolutely thrilled with its performance. The setup was incredibly easy, and the machine runs smoothly with no lag or issues, even when multitasking with multiple apps and tabs open. The display is sharp, vibrant, and perfect for both work and entertainment, while the keyboard is comfortable for extended typing sessions.Battery life is impressive—lasts all day with moderate use, which is a huge bonus for me. The laptop is also lightweight and portable, making it a great option for both home and on-the-go use. Plus, the design is sleek and modern, with a premium feel that doesn’t break the bank.Whether you need it for work, school, or casual use, this laptop delivers excellent value and performance. I highly recommend it!"
"18.5 Inch Laptops Windows","Nagito","September 9, 2024",4.6,"Good quality Laptop 💻 👌","I do recommend this laptop 💻, very easy to use. Sophisticated and great for work or study. Affordable price, great battery 🔋, enough storage, fast as far as speed."
"18.5 Inch Laptops Windows","Excellent blow dryer 👌 perfect temperature and very strong wind. Small size perfect for traveling. ","September 8, 2024",4.6,"Great laptop","We use this laptop for business, taxes and everyday computing... it's fast, has a great display and the keyboard has a standout color that makes everything very easy to see and find quicker....the quality for the money has us considering getting another one....great deal...the performance is great and the size and weight are perfect."
"18.5 Inch Laptops Windows","Kevin Hewitt","October 7, 2024",5,"Good price and quality!","I was pleasantly surprised and the quality of this laptop for the price!  Very easy to set up and crisp screen."
"18.5 Inch Laptops Windows","CupChamps2019","November 5, 2024",5,"What a Great Bargain","I have no complaints for this laptop. For the price you're getting a decent processor and a really sleek looking machine. This notebook makes for a good travel computer and the batter lasts a long time. Just remember when you're done setting it up to take it out of S mode or else you wont be able to download any programs. Overall a great bang for you're buck."
"18.5 Inch Laptops Windows","Emmy Lam","October 19, 2024",5,"EASY. No set up problems. 17""screen great. Great price. Recommend.","I love the larger screen. My eyes are getting older. It was easy to set up..Great price. I have simple needs being retired.Streaming should be better with the larger screen.. I am looking forward to learning some new skills. It's lighter to carry onto flights too. So far, so good."
"18.5 Inch Laptops Windows","Linda","September 19, 2024",5,"Cheap, but still not worth it","I did not pay a lot for this laptop compared to more popular brands. I can not recommend that anyone buy this model. Some of the functions work fine, but once you plug in a couple of peripherals, it basically goes haywire. If you are using this as a standalone, you might be ok. If you're wanting to plug in an additional display, I would keep shopping."
"18.5 Inch Laptops Windows","Kris Yager","October 6, 2024",5,"Better than my last HP","This is a really nice laptop.  It performs just as well as the name brand laptops,  if not better. I love the large screen.  Screen resolution is excellent and the price can't be beat.  I would definitely order again."
"18.5 Inch Laptops Windows","Amy Granger",NA,5,NA,NA
"18.5 Inch Laptops Windows",NA,NA,5,NA,NA
"18.5 Inch Laptops Windows",NA,NA,5,NA,NA
"18.5 Inch Laptops Windows",NA,NA,5,NA,NA
"18.5 Inch Laptops Windows",NA,NA,5,NA,NA
"18.5 Inch Laptops Windows",NA,NA,5,NA,NA
"18.5 Inch Laptops Windows",NA,NA,1,NA,NA
"18.5 Inch Laptops Windows",NA,NA,5,NA,NA
"18.5 Inch Laptops Windows",NA,NA,5,NA,NA
"18.5 Inch Laptops Windows",NA,NA,NA,NA,NA
"18.5 Inch Laptops Windows",NA,NA,NA,NA,NA
"18.5 Inch Laptops Windows",NA,NA,NA,NA,NA
"Acer Aspire 3 A315-24P-R7VH","","August 10, 2024",4.4,"Everything I was looking for","Pretty good laptop. Will make a really good school or low level gaming laptop compared to latest games.It came with a 128gb 800mbps m.2 drive that was slow for windows 11 so upgraded it to 1tb 3500mbps m.2 drive. There are mixed reviews and info even from the manufacturer on if it has a extra ram slot or not but this one does not have one. All the ram is soldered to the motherboard and needs to be taken to an Acer shop in order to upgrade. Out of the box it used 6/8gb of ram at first then after the updates it dropped down to 4/8gb used. The system is pretty fast for only having 4gb free. The processor is the main feature I ordered it for since it is a 4core-8thread processor with speed ranging from 2.5ghz to 4.3ghz. After trying some more power demanding games the temp could still not pass 50c and stays quiet and cool to touch. It normally stays idle around 41c when not under a heavy load with no sound from the fans. The screen is decent quality but not meant for games since it's LCD and not being led the games get a bit of blur here and there with higher fps. Word of advice is when installing a different operating system the WiFi drivers do not reinstall with the system so any online activation is almost useless unless you have a usb-ethernet adapter. The battery lasts me around 6 hours in performance mode but in power saving mode could possibly last 9+ hours and way longer with some power setting tweaks. The graphics says 600mb dedicated and 3400mb shared but unlike a lot of systems all the shared moves straight to dedicated making it 4gb for the graphics. The value is pretty good and the appearance is slick. My older brother was checking it out and thinking of buying one now because of how well it does. Some upgrades to look into if you know what your doing is a new m.2 drive with a faster transfer rate and also possibly an upgraded 15.6inch screen that's 1080p-4k."
